0.22	0.17	0.12	0.13	0.21	0.24	0.25	0.23	0.17	0.15	0.19	0.21
0.18	0.15	0.16	0.17	0.24	0.31	0.28	0.22	0.19	0.18	0.17	0.17
0.12	0.14	0.05	0.05	0.17	0.15	0.27	0.27	0.15	0.12	0.16	0.11
0.22	0.2	0.18	0.21	0.4	0.66	0.5	0.39	0.36	0.31	0.21	0.19
0.22	0.19	0.16	0.17	0.22	0.38	0.38	0.28	0.22	0.17	0.15	0.24
0.21	0.19	0.18	0.21	0.24	0.31	0.34	0.32	0.29	0.26	0.23	0.22
0.22	0.23	0.22	0.25	0.28	0.4	0.43	0.4	0.32	0.28	0.24	0.22
0.26	0.24	0.22	0.24	0.31	0.45	0.41	0.34	0.28	0.2	0.19	0.23
0.22	0.25	0.26	0.23	0.29	0.47	0.6	0.52	0.48	0.42	0.26	0.19
0.28	0.27	0.32	0.35	0.5	0.71	0.61	0.59	0.56	0.46	0.46	0.38
0.28	0.25	0.18	0.19	0.25	0.38	0.38	0.52	0.29	0.22	0.26	0.29
0.2	0.19	0.2	0.22	0.29	0.48	0.45	0.34	0.29	0.24	0.21	0.24
0.18	0.14	0.14	0.16	0.22	0.37	0.33	0.3	0.27	0.24	0.22	0.21
0.24	0.22	0.21	0.24	0.34	0.59	0.56	0.48	0.43	0.38	0.3	0.26
0.04	0.02	0	0	0.01	0.03	0.04	0.04	0.04	0.03	0.03	0.03
0.06	0.06	0.03	0.03	0.06	0.12	0.18	0.19	0.14	0.11	0.09	0.06
0.17	0.13	0.1	0.09	0.12	0.17	0.19	0.19	0.16	0.15	0.15	0.16
0.15	0.19	0.04	0.02	0.06	0.37	0.37	0.35	0.18	0.14	0.23	0.16
0.28	0.23	0.11	0.13	0.18	0.47	0.42	0.42	0.27	0.21	0.26	0.28
Nan	0.05	0.01	0	0	0.08	0.1	0.08	0.05	0.11	0.07	Nan
0.21	0.16	0.11	0.1	0.21	0.34	0.42	0.38	0.3	0.24	0.22	0.23

